+--------------+-----------------+-------------+-------------+--------------------+---------+
| household_id | building_number | unit_number | room_number | parmanent_resident | user_id |
|           34 |               1 |           3 |         201 |                  2 | NULL    |
|           35 |               1 |           3 |         202 |                  3 | NULL    |
|           36 |               1 |           3 |         203 |                  5 | NULL    |
|           37 |               1 |           3 |         301 |                  2 | NULL    |
|           38 |               1 |           3 |         302 |                  1 | NULL    |
|           39 |               1 |           3 |         303 |                  5 | NULL    |
|           40 |               1 |           3 |         401 |                  3 | NULL    |
|           41 |               1 |           3 |         402 |                  2 | NULL    |
|           42 |               1 |           3 |         403 |                  2 | NULL    |
|           43 |               1 |           3 |         501 |                  2 | NULL    |
|           44 |               1 |           3 |         502 |                  4 | NULL    |
|           45 |               1 |           3 |         503 |                  4 | NULL    |
|           46 |               2 |           1 |         101 |                  5 | NULL    |
|           47 |               2 |           1 |         102 |                  1 | NULL    |
|           48 |               2 |           1 |         103 |                  3 | NULL    |
|           49 |               2 |           1 |         201 |                  1 | NULL    |
|           50 |               2 |           1 |         202 |                  5 | NULL    |
|           51 |               2 |           1 |         203 |                  3 | NULL    |
|           52 |               2 |           1 |         301 |                  2 | NULL    |
|           53 |               2 |           1 |         302 |                  5 | Gsg     |
|           54 |               2 |           1 |         303 |                  4 | Pnvdfuu |
|           55 |               2 |           1 |         401 |                  5 | Kctxfvd |
|           56 |               2 |           1 |         402 |                  3 | Noujb   |
|           57 |               2 |           1 |         403 |                  1 | Zfksej  |
|           58 |               2 |           1 |         501 |                  2 | Mcheox  |
|           59 |               2 |           1 |         502 |                  1 | Nalr    |
|           60 |               2 |           1 |         503 |                  3 | Czy     |
|           61 |               2 |           2 |         101 |                  4 | Ipkwzo  |
|           62 |               2 |           2 |         102 |                  3 | Hob     |
|           63 |               2 |           2 |         103 |                  2 | Rfeqon  |
|           64 |               2 |           2 |         201 |                  2 | Bpzany  |
|           65 |               2 |           2 |         202 |                  5 | Bbsz    |
|           66 |               2 |           2 |         203 |                  4 | Vvvxg   |
|           67 |               2 |           2 |         301 |                  1 | Ltl     |
|           68 |               2 |           2 |         302 |                  5 | Mbr     |
|           69 |               2 |           2 |         303 |                  5 | Uqb     |
|           70 |               2 |           2 |         401 |                  3 | Ujk     |
|           71 |               2 |           2 |         402 |                  5 | Hasxwi  |
|           72 |               2 |           2 |         403 |                  3 | Bxb     |
|           73 |               2 |           2 |         501 |                  5 | Tkbill  |
|           74 |               2 |           2 |         502 |                  3 | Rhspml  |
|           75 |               2 |           2 |         503 |                  3 | Gnzl    |
|           76 |               2 |           3 |         101 |                  3 | Qtlds   |
|           77 |               2 |           3 |         102 |                  5 | Yurzmd  |
|           78 |               2 |           3 |         103 |                  1 | Kebz    |
|           79 |               2 |           3 |         201 |                  2 | Mjqf    |
|           80 |               2 |           3 |         202 |                  4 | Jpff    |
|           81 |               2 |           3 |         203 |                  3 | Gtjb    |
|           82 |               2 |           3 |         301 |                  4 | Dihqhb  |
|           83 |               2 |           3 |         302 |                  4 | Ealgxd  |
|           84 |               2 |           3 |         303 |                  2 | Ijoqyc  |
|           85 |               2 |           3 |         401 |                  4 | Rln     |
|           86 |               2 |           3 |         402 |                  1 | Lilvb   |
|           87 |               2 |           3 |         403 |                  3 | Okob    |
|           88 |               2 |           3 |         501 |                  5 | Uxhvevy |
|           89 |               2 |           3 |         502 |                  3 | Jyy     |
|           90 |               2 |           3 |         503 |                  1 | Gye     |
|           91 |               3 |           1 |         101 |                  1 | Krulc   |
|           92 |               3 |           1 |         102 |                  3 | Ilqoowi |
|           93 |               3 |           1 |         103 |                  3 | Khfa    |
|           94 |               3 |           1 |         201 |                  4 | Mjsih   |
|           95 |               3 |           1 |         202 |                  5 | Yurr    |
|           96 |               3 |           1 |         203 |                  5 | Rpb     |
|           97 |               3 |           1 |         301 |                  1 | Yjhkcrl |
|           98 |               3 |           1 |         302 |                  2 | Jyviv   |
|           99 |               3 |           1 |         303 |                  1 | Psi     |
|          100 |               3 |           1 |         401 |                  4 | Bgghj   |
|          101 |               3 |           1 |         402 |                  1 | Eeleql  |
|          102 |               3 |           1 |         403 |                  3 | Lyraar  |
|          103 |               3 |           1 |         501 |                  4 | Ewp     |
|          104 |               3 |           1 |         502 |                  3 | Gbwp    |
|          105 |               3 |           1 |         503 |                  2 | Kmquvdw |
|          106 |               3 |           2 |         101 |                  3 | Plcjyzp |
|          107 |               3 |           2 |         102 |                  2 | Xzcnt   |
|          108 |               3 |           2 |         103 |                  4 | Xheke   |
|          109 |               3 |           2 |         201 |                  4 | Cjaa    |
|          110 |               3 |           2 |         202 |                  1 | Bbp     |
|          111 |               3 |           2 |         203 |                  3 | Kfcdvsd |
|          112 |               3 |           2 |         301 |                  2 | Hahrkre |
|          113 |               3 |           2 |         302 |                  5 | Zhdaqpt |
|          114 |               3 |           2 |         303 |                  4 | Tzaocb  |
|          115 |               3 |           2 |         401 |                  1 | Mypy    |
|          116 |               3 |           2 |         402 |                  3 | Ospqrds |
|          117 |               3 |           2 |         403 |                  4 | Oem     |
|          118 |               3 |           2 |         501 |                  1 | Uatuuib |
|          119 |               3 |           2 |         502 |                  4 | Ppnufj  |
|          120 |               3 |           2 |         503 |                  5 | Imzwvaz |
|          121 |               3 |           3 |         101 |                  2 | Agfk    |
|          122 |               3 |           3 |         102 |                  4 | Igqvcp  |
|          123 |               3 |           3 |         103 |                  1 | Wkvbr   |
|          124 |               3 |           3 |         201 |                  3 | Wrpzg   |
|          125 |               3 |           3 |         202 |                  5 | Qipvt   |
|          126 |               3 |           3 |         203 |                  4 | Xfhfztk |
|          127 |               3 |           3 |         301 |                  4 | Dkmilyf |
|          128 |               3 |           3 |         302 |                  4 | Ahw     |
|          129 |               3 |           3 |         303 |                  4 | Ipupx   |
|          130 |               3 |           3 |         401 |                  1 | NULL    |
|          131 |               3 |           3 |         402 |                  5 | NULL    |
|          132 |               3 |           3 |         403 |                  5 | NULL    |
|          133 |               3 |           3 |         501 |                  2 | NULL    |
|          134 |               3 |           3 |         502 |                  3 | NULL    |
|          135 |               3 |           3 |         503 |                  3 | NULL    |
|          136 |               4 |           1 |         101 |                  2 | NULL    |
|          137 |               4 |           1 |         102 |                  5 | NULL    |
|          138 |               4 |           1 |         103 |                  1 | NULL    |
|          139 |               4 |           1 |         201 |                  4 | NULL    |
|          140 |               4 |           1 |         202 |                  4 | NULL    |
|          141 |               4 |           1 |         203 |                  4 | NULL    |
|          142 |               4 |           1 |         301 |                  1 | NULL    |
|          143 |               4 |           1 |         302 |                  3 | NULL    |
|          144 |               4 |           1 |         303 |                  1 | NULL    |
|          145 |               4 |           1 |         401 |                  1 | NULL    |
|          146 |               4 |           1 |         402 |                  1 | NULL    |
|          147 |               4 |           1 |         403 |                  1 | NULL    |
|          148 |               4 |           1 |         501 |                  1 | NULL    |
|          149 |               4 |           1 |         502 |                  3 | NULL    |
|          150 |               4 |           1 |         503 |                  2 | NULL    |
|          151 |               4 |           2 |         101 |                  5 | NULL    |
|          152 |               4 |           2 |         102 |                  3 | NULL    |
|          153 |               4 |           2 |         103 |                  3 | NULL    |
|          154 |               4 |           2 |         201 |                  5 | NULL    |
|          155 |               4 |           2 |         202 |                  3 | NULL    |
|          156 |               4 |           2 |         203 |                  2 | NULL    |
|          157 |               4 |           2 |         301 |                  4 | NULL    |
|          158 |               4 |           2 |         302 |                  3 | NULL    |
|          159 |               4 |           2 |         303 |                  2 | NULL    |
|          160 |               4 |           2 |         401 |                  4 | NULL    |
|          161 |               4 |           2 |         402 |                  1 | NULL    |
|          162 |               4 |           2 |         403 |                  4 | NULL    |
|          163 |               4 |           2 |         501 |                  2 | NULL    |
|          164 |               4 |           2 |         502 |                  3 | NULL    |
|          165 |               4 |           2 |         503 |                  2 | NULL    |
|          166 |               4 |           3 |         101 |                  3 | NULL    |
|          167 |               4 |           3 |         102 |                  2 | NULL    |
|          168 |               4 |           3 |         103 |                  1 | NULL    |
|          169 |               4 |           3 |         201 |                  3 | NULL    |
|          170 |               4 |           3 |         202 |                  3 | NULL    |
|          171 |               4 |           3 |         203 |                  5 | NULL    |
|          172 |               4 |           3 |         301 |                  3 | NULL    |
|          173 |               4 |           3 |         302 |                  3 | NULL    |
|          174 |               4 |           3 |         303 |                  1 | NULL    |
|          175 |               4 |           3 |         401 |                  2 | NULL    |
|          176 |               4 |           3 |         402 |                  1 | NULL    |
|          177 |               4 |           3 |         403 |                  4 | NULL    |
|          178 |               4 |           3 |         501 |                  2 | NULL    |
|          179 |               4 |           3 |         502 |                  3 | NULL    |
|          180 |               4 |           3 |         503 |                  4 | NULL    |
|          181 |               5 |           1 |         101 |                  5 | NULL    |
|          182 |               5 |           1 |         102 |                  2 | NULL    |
|          183 |               5 |           1 |         103 |                  3 | NULL    |
|          184 |               5 |           1 |         201 |                  4 | NULL    |
|          185 |               5 |           1 |         202 |                  1 | NULL    |
|          186 |               5 |           1 |         203 |                  2 | NULL    |
|          187 |               5 |           1 |         301 |                  1 | NULL    |
|          188 |               5 |           1 |         302 |                  2 | NULL    |
|          189 |               5 |           1 |         303 |                  5 | NULL    |
|          190 |               5 |           1 |         401 |                  1 | NULL    |
|          191 |               5 |           1 |         402 |                  1 | NULL    |
|          192 |               5 |           1 |         403 |                  1 | NULL    |
|          193 |               5 |           1 |         501 |                  5 | NULL    |
|          194 |               5 |           1 |         502 |                  2 | NULL    |
|          195 |               5 |           1 |         503 |                  4 | NULL    |
|          196 |               5 |           2 |         101 |                  2 | NULL    |
|          197 |               5 |           2 |         102 |                  3 | NULL    |
|          198 |               5 |           2 |         103 |                  2 | NULL    |
|          199 |               5 |           2 |         201 |                  5 | NULL    |
|          200 |               5 |           2 |         202 |                  2 | NULL    |
|          201 |               5 |           2 |         203 |                  2 | NULL    |
|          202 |               5 |           2 |         301 |                  1 | NULL    |
|          203 |               5 |           2 |         302 |                  3 | NULL    |
|          204 |               5 |           2 |         303 |                  1 | NULL    |
|          205 |               5 |           2 |         401 |                  2 | NULL    |
|          206 |               5 |           2 |         402 |                  1 | NULL    |
|          207 |               5 |           2 |         403 |                  5 | NULL    |
|          208 |               5 |           2 |         501 |                  1 | NULL    |
|          209 |               5 |           2 |         502 |                  5 | NULL    |
|          210 |               5 |           2 |         503 |                  1 | NULL    |
|          211 |               5 |           3 |         101 |                  5 | NULL    |
|          212 |               5 |           3 |         102 |                  5 | NULL    |
|          213 |               5 |           3 |         103 |                  1 | NULL    |
|          214 |               5 |           3 |         201 |                  3 | NULL    |
|          215 |               5 |           3 |         202 |                  1 | NULL    |
|          216 |               5 |           3 |         203 |                  2 | NULL    |
|          217 |               5 |           3 |         301 |                  4 | NULL    |
|          218 |               5 |           3 |         302 |                  4 | NULL    |
|          219 |               5 |           3 |         303 |                  1 | NULL    |
|          220 |               5 |           3 |         401 |                  2 | NULL    |
|          221 |               5 |           3 |         402 |                  1 | NULL    |
|          222 |               5 |           3 |         403 |                  5 | NULL    |
|          223 |               5 |           3 |         501 |                  3 | NULL    |
|          224 |               5 |           3 |         502 |                  5 | NULL    |
|          225 |               5 |           3 |         503 |                  4 | NULL    |
|          226 |               6 |           1 |         101 |                  1 | NULL    |
|          227 |               6 |           1 |         102 |                  2 | NULL    |
|          228 |               6 |           1 |         103 |                  1 | NULL    |
|          229 |               6 |           1 |         201 |                  2 | NULL    |
|          230 |               6 |           1 |         202 |                  5 | NULL    |
|          231 |               6 |           1 |         203 |                  1 | NULL    |
|          232 |               6 |           1 |         301 |                  3 | NULL    |
|          233 |               6 |           1 |         302 |                  1 | NULL    |
|          234 |               6 |           1 |         303 |                  2 | NULL    |
|          235 |               6 |           1 |         401 |                  3 | NULL    |
|          236 |               6 |           1 |         402 |                  3 | NULL    |
|          237 |               6 |           1 |         403 |                  1 | NULL    |
|          238 |               6 |           1 |         501 |                  2 | NULL    |
|          239 |               6 |           1 |         502 |                  5 | NULL    |
|          240 |               6 |           1 |         503 |                  5 | NULL    |
|          241 |               6 |           2 |         101 |                  1 | NULL    |
|          242 |               6 |           2 |         102 |                  1 | NULL    |
|          243 |               6 |           2 |         103 |                  5 | NULL    |
|          244 |               6 |           2 |         201 |                  5 | NULL    |
|          245 |               6 |           2 |         202 |                  3 | NULL    |
|          246 |               6 |           2 |         203 |                  3 | NULL    |
|          247 |               6 |           2 |         301 |                  4 | NULL    |
|          248 |               6 |           2 |         302 |                  1 | NULL    |
|          249 |               6 |           2 |         303 |                  3 | NULL    |
|          250 |               6 |           2 |         401 |                  2 | NULL    |
|          251 |               6 |           2 |         402 |                  5 | NULL    |
|          252 |               6 |           2 |         403 |                  1 | NULL    |
|          253 |               6 |           2 |         501 |                  4 | NULL    |
|          254 |               6 |           2 |         502 |                  4 | NULL    |
|          255 |               6 |           2 |         503 |                  1 | NULL    |
|          256 |               6 |           3 |         101 |                  1 | NULL    |
|          257 |               6 |           3 |         102 |                  3 | NULL    |
|          258 |               6 |           3 |         103 |                  4 | NULL    |
|          259 |               6 |           3 |         201 |                  2 | NULL    |
|          260 |               6 |           3 |         202 |                  5 | NULL    |
|          261 |               6 |           3 |         203 |                  5 | NULL    |
|          262 |               6 |           3 |         301 |                  2 | NULL    |
|          263 |               6 |           3 |         302 |                  4 | NULL    |
|          264 |               6 |           3 |         303 |                  1 | NULL    |
|          265 |               6 |           3 |         401 |                  2 | NULL    |
|          266 |               6 |           3 |         402 |                  2 | NULL    |
|          267 |               6 |           3 |         403 |                  4 | NULL    |
|          268 |               6 |           3 |         501 |                  5 | NULL    |
|          269 |               6 |           3 |         502 |                  1 | NULL    |
|          270 |               6 |           3 |         503 |                  5 | NULL    |
|          271 |               7 |           1 |         101 |                  4 | NULL    |
|          272 |               7 |           1 |         102 |                  1 | NULL    |
|          273 |               7 |           1 |         103 |                  5 | NULL    |
|          274 |               7 |           1 |         201 |                  5 | NULL    |
|          275 |               7 |           1 |         202 |                  1 | NULL    |
|          276 |               7 |           1 |         203 |                  4 | NULL    |
|          277 |               7 |           1 |         301 |                  3 | NULL    |
|          278 |               7 |           1 |         302 |                  3 | NULL    |
|          279 |               7 |           1 |         303 |                  5 | NULL    |
|          280 |               7 |           1 |         401 |                  1 | NULL    |
|          281 |               7 |           1 |         402 |                  2 | NULL    |
|          282 |               7 |           1 |         403 |                  5 | NULL    |
|          283 |               7 |           1 |         501 |                  1 | NULL    |
|          284 |               7 |           1 |         502 |                  5 | NULL    |
|          285 |               7 |           1 |         503 |                  3 | NULL    |
|          286 |               7 |           2 |         101 |                  5 | NULL    |
|          287 |               7 |           2 |         102 |                  3 | NULL    |
|          288 |               7 |           2 |         103 |                  2 | NULL    |
|          289 |               7 |           2 |         201 |                  5 | NULL    |
|          290 |               7 |           2 |         202 |                  3 | NULL    |
|          291 |               7 |           2 |         203 |                  4 | NULL    |
|          292 |               7 |           2 |         301 |                  4 | NULL    |
|          293 |               7 |           2 |         302 |                  5 | NULL    |
|          294 |               7 |           2 |         303 |                  5 | NULL    |
|          295 |               7 |           2 |         401 |                  2 | NULL    |
|          296 |               7 |           2 |         402 |                  2 | NULL    |
|          297 |               7 |           2 |         403 |                  4 | NULL    |
|          298 |               7 |           2 |         501 |                  2 | NULL    |
|          299 |               7 |           2 |         502 |                  5 | NULL    |
|          300 |               7 |           2 |         503 |                  1 | NULL    |
|          301 |               7 |           3 |         101 |                  5 | NULL    |
|          302 |               7 |           3 |         102 |                  3 | NULL    |
|          303 |               7 |           3 |         103 |                  5 | NULL    |
|          304 |               7 |           3 |         201 |                  3 | NULL    |
|          305 |               7 |           3 |         202 |                  2 | NULL    |
|          306 |               7 |           3 |         203 |                  4 | NULL    |
|          307 |               7 |           3 |         301 |                  5 | NULL    |
|          308 |               7 |           3 |         302 |                  4 | NULL    |
|          309 |               7 |           3 |         303 |                  2 | NULL    |
|          310 |               7 |           3 |         401 |                  3 | NULL    |
|          311 |               7 |           3 |         402 |                  3 | NULL    |
|          312 |               7 |           3 |         403 |                  1 | NULL    |
|          313 |               7 |           3 |         501 |                  4 | NULL    |
|          314 |               7 |           3 |         502 |                  4 | NULL    |
|          315 |               7 |           3 |         503 |                  2 | NULL    |
+--------------+-----------------+-------------+-------------+--------------------+---------+
315 rows in set (0.37 sec)
