+------------+---------------------------+--------------------+
| parking_id | parking_place_description | parking_car_number |
|        267 | 18排12号                  | 鄂J32944           |
|        268 | 18排13号                  | none               |
|        269 | 18排14号                  | none               |
|        270 | 18排15号                  | none               |
|        271 | 19排1号                   | none               |
|        272 | 19排2号                   | 鄂H45780           |
|        273 | 19排3号                   | none               |
|        274 | 19排4号                   | none               |
|        275 | 19排5号                   | 鄂C13463           |
|        276 | 19排6号                   | none               |
|        277 | 19排7号                   | none               |
|        278 | 19排8号                   | none               |
|        279 | 19排9号                   | none               |
|        280 | 19排10号                  | none               |
|        281 | 19排11号                  | 鄂A12035           |
|        282 | 19排12号                  | 鄂M66902           |
|        283 | 19排13号                  | none               |
|        284 | 19排14号                  | none               |
|        285 | 19排15号                  | 鄂L12133           |
|        286 | 20排1号                   | none               |
|        287 | 20排2号                   | none               |
|        288 | 20排3号                   | none               |
|        289 | 20排4号                   | none               |
|        290 | 20排5号                   | none               |
|        291 | 20排6号                   | none               |
|        292 | 20排7号                   | none               |
|        293 | 20排8号                   | none               |
|        294 | 20排9号                   | none               |
|        295 | 20排10号                  | none               |
|        296 | 20排11号                  | 鄂A27301           |
|        297 | 20排12号                  | 鄂A35967           |
|        298 | 20排13号                  | none               |
|        299 | 20排14号                  | none               |
|        300 | 20排15号                  | none               |
+------------+---------------------------+--------------------+
300 rows in set (0.34 sec)
